,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
50,"Welcome To This Cozy 1 Bedroom Rental In The Vanier Community Of Oshawa. Situated On A Huge Lot Of Land.  Walking Distance To Oshawa Centre, School, And 2 Minutes From Highway Access. Minutes To Many Of Your Favourite Restaurants & Go Transit.  Location Location Location. Natural Light. Family Friendly Neighbourhood!**** EXTRAS **** Rent Includes Fridge, Stove, Washer And Dryer, 1 Parking Space. Utilities Separate. Tenant Is Responsible For Hydro, And 1/3 Of Gas And Water. (30183519)",1,Other,"#2 -207 CABOT ST|Oshawa, Ontario L1J5S2","$1,299/Monthly",Single Family,,
51,"New Basement Unit, Sep Entrance ,Own Washer And Dryer In The Unit , Back Onto River, One Parking Spaces On Driving Way, Tenant Pay 20% Of Total Utilities Estimated At $100 Per Month , Adjust At The End Of The Year.**** EXTRAS **** Fridge, Stove, Washer, Dryer (30444007)",2,House,"#LOWER -5855 BLACK RIVER RD|Georgina, Ontario L0E1R0","$1,300/Monthly",Single Family,Freehold,
52,"Highland Creek! Prime Location/1 Bedroom Bsmt Apt. Beautifully Renovated With Separate Entrance. Minutes To Ttc, Hwy 401, Rouge Hill Go, Shops, Schools. Quiet Home In Great Location.**** EXTRAS **** Includes: Fridge, Stove, Microwave. Access To Laundry. Aaa Tenant. 1 Parking Provided. (30198609)",1,House,"#(BSMT) -29 BLUENOSE CRES|Toronto, Ontario M1C4R8","$1,300/Monthly",Single Family,Freehold,
53,"Only Basement! . Located In The Heart Of Desirable Area! New Laminate, Painted,Beautiful Fenced Back Yard, Quite Neighborhood,  Highways, Shopping And School, Close Bayview, & Hwy 407& Hwy 7. Steps Away From Viva Transit Plus Go Transit. Walking Distance To Parks, Trails, And Amenities. High Ranking School Zone, St. Robert Catholic High School.**** EXTRAS **** S/S Fridge, Stove, Washer And Dryer, Tenant Is Responsible For, Snow Removal, And Lawn Care. Tenant Pays For 1/3 Of All Utilities. One Parking Spot. (30033296)",1,House,"24 JONDAN CRES|Markham, Ontario L3T3Z5","$1,300/Monthly",Single Family,Freehold,
54,"Located At Danforth+Greenwood On Gillard Ave, This Beautiful Basement Apartment Has Private Entrance, Just Renovated Bedroom, All Floors And Bath. Freshly Painted. Very Quiet And Mature Street. Minutes Walk To Monarch Park, Greenwood Subway And Danforth Street Shopping Area. Minutes To Monarch Junior And Collegiate Schools. Gas Cooker In The Bathroom. The House Is Electrical Safety Authority And Fire Approved. Upstairs Separately Rented. Looking For A Single Female Or A Couple With Verifiable Tenancy Record And Clean Life Style. Must Be Non-Smoker. Cat Allowed. Rent $1300+25% Utilities. (29745384)",1,House,"#BSMT -151 GILLARD AVE|Toronto, Ontario M4J4N7","$1,300/Monthly",Single Family,Freehold,
55,"Rarely Offered All Utilities Included Spacious Basement Apartment. Located In The Weston Village Community, Just Steps Away From All Amenities. Coin Laundry Available In Garage For Tenant. 1 Parking Spot Included. (30304979)",0,House,"#BSMT -161 BOB YUILL DR|Toronto, Ontario M9M0B1","$1,300/Monthly",Single Family,Freehold,
56,"Basement One Bedroom Apartment, Sep Entrance, Freshly Paint, Spacious , Walking Distance To Ttc , Close To Shopping , One Bus To Seneca College, Several Schools Nearby: Public, French, Catholic, Private. Library, Parks . Good For One Single Person Only.**** EXTRAS **** Looking For Aaa Tenants. Only Consider Single Tenant. References, Rental Application, Full Credit Report & Proof Of Income, Photo Ids With Offer. No Pet. Nonsmokers. (30246583)",1,House,"45 BRIARSCROSS BSMT BLVD|Toronto, Ontario M1S3K6","$1,300/Monthly",Single Family,Freehold,
57,"Spacious Basement Apartment In Sought-After Oakwood Village. Open Concept Eat-In Kitchen. Newly Renovated Bathroom. Above Ground Windows. Great Midtown Location. Walk To Public & Catholic Schools, Fairbank Park/Rec Centre, Ttc Bus Routes, Eglinton Lrt Station, Shopping, Restaurants. 5 Minutes To Highway.**** EXTRAS **** Fridge, Stove Oven, Hood Fan, Ensuite Washer & Dryer, All Elf's, All Window Coverings, Gdo & Remote. 1 Car Laneway Garage Parking. No Pets, No Smoking. (30252357)",1,House,"#BSMNT -23 AMHERST AVE|Toronto, Ontario M6E1Z2","$1,300/Monthly",Single Family,Freehold,1
58,"1 Bedroomed Basement Apartment In A High Demand Location. Ttc, Scarborough Go Train, Schools, Parks, 10 Mins From Marina And Beach & Bluffs. Compact 1 Bedroom With Living Room/Kitchen/ Shared Laundry. Basement Has Separate Entrance, One Parking Spot, In A Very Quiet Family Neighborhood.**** EXTRAS **** 30% Utilities. Parks, Shopping Plaza In Cliffside Village Only 5 Mins Walk, Churches, Schools. Ideal For Young Student Or Couple (30265433)",1,House,"384 AYLESWORTH AVE|Toronto, Ontario M1N2K6","$1,300/Monthly",Single Family,Freehold,1
59,"Welcome To 116 Marydale Ave Bsmt.  This 1 Bed And 1 Bath Basement Apartment Is Conveniently Located At Markham And Denison. 1 Parking Spot, Utilities Included, Internet Included And Can Be Furnished.  Laundry Is Shared.  Looking For A Single Student Or Mature Single Professional.  Landlord Lives On Main Floor. Close To Schools, Colleges, Shops, Restaurants, Grocery, 407, Minutes From 401 And Much More.**** EXTRAS **** Fridge, Stove, Microwave. Washer/Dryer Shared. Utilities And Internet Included. (30349721)",1,House,"#BSMT -116 MARYDALE AVE|Markham, Ontario L3S3N9","$1,300/Monthly",Single Family,Freehold,1
60,"One Bedroom Basement Unit Fully Renovated Never Lived In, Ensuite Laundry, Separate Entrance, One Parking Included. Tenant Pays 35% Utilities.**** EXTRAS **** Fridge, Stove, Washer, Dryer. All Elf's (30364710)",1,House,"#BSMT -641 TENNYSON AVE|Oshawa, Ontario L1H3K3","$1,300/Monthly",Single Family,Freehold,
61,"This Bachelor Suite Is Ideal For A Student Or A Working Professional. 5 Min Walk To Lisgar Go. Close To Hwys, Go Station, Shopping And Lots Of Amenities, Unit Is Open Concept, 1 Parking Is Available. Tenants Pay 1/4 Of The All The Utilities**** EXTRAS **** Fridge, Stove, Washer And Drier ( Shared )All Light Fixtures. (30371498)",0,House,"#BSMT -3225 BRUZAN CRES|Mississauga, Ontario L5N8E7","$1,300/Monthly",Single Family,Freehold,
62,"Highland Creek! Prime Location/1 Bedroom Bsmt Apt. Beautifully Renovated With Separate Entrance. Minutes To Ttc, Hwy 401, Rouge Hill Go, Shops, Schools. Quiet Home In Great Location.**** EXTRAS **** Includes: Fridge, Stove, Microwave. Access To Laundry. Aaa Tenant. 1 Parking Provided. (30198609)",1,House,"#(BSMT) -29 BLUENOSE CRES|Toronto, Ontario M1C4R8","$1,300/Monthly",Single Family,Freehold,
63,"Wow! Recently updated from top to bottom - Roof shingles (2018), AC/Furance (2021), updated plumbing, updated electrical, detached garage with hydro and automatic garage door opener (2021), and windows (2021). This bright and spacious home, located in the Gibson-Stipley neighbourhood, is ready for you to move in immediately! This fully-finished basement bachelor suite has a separate entrance, beautiful kitchen, 4pc bath, laundry area with additional sink and ample storage space. Close to many things Hamilton has to offer! Playhouse Cinema, Tim Hortons field, a variety of bars and restaurants in walking distance, public transit and the hospital! (64975660)",0 + 0,House,"1 EDWARD Street Unit# B|Hamilton, Ontario L8L2V2","$1,300/Monthly",Single Family,Freehold,
64,"Welcome To This Open Concept Bright & Spacious Apartment. This Unit Is Immaculate. Large Kitchen With A Lot Of Cabinet Space, Large Family Room, Large Master Bedroom. This Unit Is Very Clean. Laminate Flooring. The Unit Has Its Own Laundry (Ensuite) And 1 Parking Spot. Close To Shopping & Public Transportation. Tenant To Pay Its Proportionate Share Of Utilities.**** EXTRAS **** Fridge, Stove, Washer, Dryer, All Window Coverings. Cable Tv Is Included. (30383429)",1,House,"11 MCDONALD DR|Aurora, Ontario L4G2T4","$1,300/Monthly",Single Family,Freehold,
65,"A Renter's Top Choice!! This One Bedroom One Bathroom Basement Apartment With Separate Entrance Is Ideal For A Bachelor Or A Couple. This Unit Features Stove, Fridge, Built-In Dishwasher, Washer And Dryer. Tenants Are Responsible For 50% Of Utilities Excluding Cable And Internet - Which Will Be Tenants Responsibility.  Show & Tell!!**** EXTRAS **** ** Stove ** Fridge ** Dishwasher ** Washer And Dryer ** (30343573)",1,House,"#BSMT -83 LONGVIEW DR|Bradford West Gwillimbury, Ontario L3Z2Z2","$1,300/Monthly",Single Family,Freehold,1
66,"Great Location ( Near To Walmart, Home Depot, Td Bank And More).Clean & Newly Renovated 1 Bedroom Basement With Separate Entrance,  Living Room + Spacious Bedroom,  Private Laundry, New Kitchenette Appliances. Includes 1 Parking. 30% Utilities Are Extra. This Is A Linked Property. ** This is a linked property.** **** EXTRAS **** Fridge, Washer/Dryer, Kitchen Cabinets, Window Coverings. *For Additional Property Details Click The Brochure Icon Below* (29977140)",1,House,"#BSMT -72 ADAMS ST|Bradford West Gwillimbury, Ontario L3Z3E2","$1,300/Monthly",Single Family,Freehold,1
67,"Spacious Basement Apartment In Sought-After Oakwood Village. Open Concept Eat-In Kitchen. Newly Renovated Bathroom. Above Ground Windows. Great Midtown Location. Walk To Public & Catholic Schools, Fairbank Park/Rec Centre, Ttc Bus Routes, Eglinton Lrt Station, Shopping, Restaurants. 5 Minutes To Highway.**** EXTRAS **** Fridge, Stove Oven, Hood Fan, Ensuite Washer & Dryer, All Elf's, All Window Coverings, Gdo & Remote. 1 Car Laneway Garage Parking. No Pets, No Smoking. (30252357)",1,House,"#BSMNT -23 AMHERST AVE|Toronto, Ontario M6E1Z2","$1,300/Monthly",Single Family,Freehold,1
68,"Located At Danforth+Greenwood On Gillard Ave, This Beautiful Basement Apartment Has Private Entrance, Just Renovated Bedroom, All Floors And Bath. Freshly Painted. Very Quiet And Mature Street. Minutes Walk To Monarch Park, Greenwood Subway And Danforth Street Shopping Area. Minutes To Monarch Junior And Collegiate Schools. Gas Cooker In The Bathroom. The House Is Electrical Safety Authority And Fire Approved. Upstairs Separately Rented. Looking For A Single Female Or A Couple With Verifiable Tenancy Record And Clean Life Style. Must Be Non-Smoker. Cat Allowed. Rent $1300+25% Utilities. (29745384)",1,House,"#BSMT -151 GILLARD AVE|Toronto, Ontario M4J4N7","$1,300/Monthly",Single Family,Freehold,
69,"Looking To Live Out In The Country? But Easy Access To Major Highway #27, Spacious One Bedoom Basement Apartment With Seperate Entrance. Open Concept Kitchen/Dining Room, Seperate Living Room, 3 Piece Bathroom. Shared Laundry With Land Lady. Suitable For One Person Only.  No Pets & No Smoking**** EXTRAS **** Rental Application, Employment Letter, Latest Credit Check, 2 Recent Pay Stubs, First And Last Mont Rent , Govt Photo Id. No Smoking, And No Pets, All Utilities Included Except For Cable & Internet. Tenant To Obtain Their Own Cable/Internet (30413453)",1,Other,"5083 7TH LINE|New Tecumseth, Ontario L0G1A0","$1,300/Monthly",Single Family,,
70,"New Basement Unit, Sep Entrance ,Own Washer And Dryer In The Unit , Back Onto River, One Parking Spaces On Driving Way, Tenant Pay 20% Of Total Utilities Estimated At $100 Per Month , Adjust At The End Of The Year.**** EXTRAS **** Fridge, Stove, Washer, Dryer (30444007)",2,House,"#LOWER -5855 BLACK RIVER RD|Georgina, Ontario L0E1R0","$1,300/Monthly",Single Family,Freehold,
71,"Welcome To 116 Marydale Ave Bsmt.  This 1 Bed And 1 Bath Basement Apartment Is Conveniently Located At Markham And Denison. 1 Parking Spot, Utilities Included, Internet Included And Can Be Furnished.  Laundry Is Shared.  Looking For A Single Student Or Mature Single Professional.  Landlord Lives On Main Floor. Close To Schools, Colleges, Shops, Restaurants, Grocery, 407, Minutes From 401 And Much More.**** EXTRAS **** Fridge, Stove, Microwave. Washer/Dryer Shared. Utilities And Internet Included. (30349721)",1,House,"#BSMT -116 MARYDALE AVE|Markham, Ontario L3S3N9","$1,300/Monthly",Single Family,Freehold,1
72,"Looking To Live Out In The Country? But Easy Access To Major Highway #27, Spacious One Bedoom Basement Apartment With Seperate Entrance. Open Concept Kitchen/Dining Room, Seperate Living Room, 3 Piece Bathroom. Shared Laundry With Land Lady. Suitable For One Person Only.  No Pets & No Smoking**** EXTRAS **** Rental Application, Employment Letter, Latest Credit Check, 2 Recent Pay Stubs, First And Last Mont Rent , Govt Photo Id. No Smoking, And No Pets, All Utilities Included Except For Cable & Internet. Tenant To Obtain Their Own Cable/Internet (30413453)",1,Other,"5083 7TH LINE|New Tecumseth, Ontario L0G1A0","$1,300/Monthly",Single Family,,
73,"S:Beautiful 1 Bedroom With Living Room. Big Kitchen, Laminate Flooring Separate Entrance. Good Neighborhood. Parking On Driveway. No Smoking. Tenant Pays 1/3 Of Utilities**** EXTRAS **** :Stove, Washer & Dryer, Hood, Dishwasher, All Existing Elec. Light Fixtures, Central A/C. (30331484)",1,House,"2 WEBSTER DR|Aurora, Ontario L4G2A5","$1,320/Monthly",Single Family,Freehold,
74,"Spacious, Open Concept Junior 1 Bedroom Apartment With Private Entrance. Smooth Ceilings And Pot Lights Throughout. Laminate In All Main Rooms. Open Concept Bedroom Area With Ample Closet Space. Kitchen Features Stainless Steel Appliances. Three Piece Washroom With Window And Glass Corner Shower. Easily Accessed Shared Laundry Facilities On Same Level. Water, Heat & Hydro Included.**** EXTRAS **** Steps To Pape Village With Great Take Out, Shops And Groceries. Multiple Bus Routes At Corner Or Ten Min Walk To Pape Subway Station And The Danforth. Ceiling Height 6'4"""". No Pets & No Smoking. Sept 1 Occupancy. (30420100)",0 + 1,House,"#BSMT -155 MORTIMER AVE|Toronto, Ontario M4J2C4","$1,325/Monthly",Single Family,Freehold,
75,"Beautiful Updated And Well- Maintained Bachelor Basement Unit With Lots Of Natural Light. Excellent Location, 7 Mins To 427, 5 Mins To Malton Go, 5 Mins To Airport. Walking Distance To Shopping, Public Transportation, Schools, Library.**** EXTRAS **** Fridge, Stove All Utilities, Wifi & Some Furniture Included (30419183)",0 + 1,House,"7360 MANION RD|Mississauga, Ontario L4T2K6","$1,350/Monthly",Single Family,Freehold,
76,"Updated Rare Spacious 3 Bedroom Basement Apartment In Prime Richmond Hill Area. Separate Entrance. Lots Of Windows. Close Walk To Bayview. Bus Stop & Bayview Secondary School (Top Rank) All Within Walking Distance. Closed To All.**** EXTRAS **** Fridge , Stove , Washer And Dryer. Hydro , Heat & Water Included . No Pet , No Smoking. (30396431)",3,House,"#(BSMT) -449 CENTRE ST|Richmond Hill, Ontario L4C1B8","$1,350/Monthly",Single Family,Freehold,
77,"Brand New Fully Renovated Bright Studio Basement Apartment In The Heart Of Pickering. Walking Distance From Grocery Stores, Shoppers Drug Mart, Cafes & Rbc. 5 Minutes Away From 401, Neighboring Various Restaurants And Many More Amenities. Contemporary Washroom Designed W/ Porcelain Stand Up Shower & Granite Countertops. This Unit Has A Legal Separate Entrance, Large Windows And Lots Of Natural Light. Includes Free-Wi-Fi And Internet, Laundry, And Top Of The Line Security System.**** EXTRAS **** Includes S/S Stove, S/S Fridge, Free Internet, Laundry, Legal Separate Entrance, All Elfs, Security System. (30357757)",0,House,"#BSMT 2 -535 LIGHTFOOT PL|Pickering, Ontario L1V5Z8","$1,350/Monthly",Single Family,Freehold,
78,"Fully Furnished Beautiful And Bright Basement Apartment With Separate Entrance At The Rear. Open Concept Kitchen, Living Area, And Sleeping Area That Could Be Curtained Off, Ideal For Single Person, Preferably A Single Lady. (Lady Owner) Living On The Upper Levels. Private Entrance And Use Of The Back Yard Patio. Great Unit & Great Location**** EXTRAS **** Fridge, Stove, The Shared Use Of Washer & Dryer, Pull Out Bed/Couch, Chair, Kitchen Table, And 2 Chairs, Computer Desk & Chair, Tv And Cabinet, Built In Cabinets For Extra Pantry And Storage, Dishes, Glassware, Cutlery, Etc. 1 Parking Spot (30288865)",0,House,"#BSMT -203 WINNETT AVE|Toronto, Ontario","$1,350/Monthly",Single Family,Freehold,
79,"Professionally Finished 1 Bedroom Basement Apartment Awaits You. With A Private Side Entrance To Wow-Factor Interior, Make This Apartment Your New Home. Interior Has High Ceilings, Pot Lights, Gourmet Kitchen With Modern Appliances. Bedroom Boasts Double Closets. A Stackable Laundry Comes With The Suite. A Large Modern Bathroom Is Tucked Away In This Open Concept Plan Suite.**** EXTRAS **** Newer Never Lived. Modern Appliances. Professionally Finished, 1 Bedroom, 1 Parking Spot Water, Heat And Hydro Included. Aa Tenants Only. Credit Report, Job Letter, Pay Stubs, References, Treb Application And Standard Ontario Form Required (30279419)",1,Other,"#LOWER -635 BLOOR ST|Oshawa, Ontario L1H3N4","$1,350/Monthly",Single Family,,1
80,"Very Large 1 Bedroom Basement Apartment With 1 Bathroom. Newly Renovated, Painted, Cleaned And In Great Condition. Located On A Very Quiet, Family Oriented Street In The Dupont/Lansdowne Area. The House Is Close To Schools, Shopping, Church And Public Transport. Apartment Boasts A Large Living And Dining Area With A Spacious Bedroom. Lots Of Storage. Separate Entrance And En-Suite Washer And Dryer. All Utilities Included.**** EXTRAS **** *For Additional Property Details Click The Brochure Icon Below* (30203909)",1,House,"#BSMT -37 GILLESPIE AVE|Toronto, Ontario M6N2Y5","$1,350/Monthly",Single Family,Freehold,
